region,hour,avg_variance,match_count
ME1,0,2.63,5211
ME1,1,2.63,4623
ME1,2,2.62,4108
ME1,3,2.62,3471
ME1,4,2.67,2817
ME1,5,2.67,2162
ME1,6,2.73,1577
ME1,7,2.74,1344
ME1,8,2.74,1292
ME1,9,2.74,1344
ME1,10,2.73,1539
ME1,11,2.66,1906
ME1,12,2.70,2164
ME1,13,2.70,2617
ME1,14,2.67,3365
ME1,15,2.66,3822
ME1,16,2.65,4130
ME1,17,2.66,4513
ME1,18,2.65,4338
ME1,19,2.66,4627
ME1,20,2.64,5129
ME1,21,2.64,5675
ME1,22,2.65,5748
ME1,23,2.65,5665
EUW1,0,2.13,10442
EUW1,1,2.16,10083
EUW1,2,2.17,8374
EUW1,3,2.21,6183
EUW1,4,2.24,4180
EUW1,5,2.29,2891
EUW1,6,2.35,1878
EUW1,7,2.36,1221
EUW1,8,2.38,856
EUW1,9,2.37,718
EUW1,10,2.34,889
EUW1,11,2.26,1260
EUW1,12,2.19,2079
EUW1,13,2.17,3254
EUW1,14,2.14,4367
EUW1,15,2.15,5209
EUW1,16,2.16,5952
EUW1,17,2.16,6681
EUW1,18,2.16,7553
EUW1,19,2.16,8095
EUW1,20,2.16,8688
EUW1,21,2.14,8957
EUW1,22,2.14,9117
EUW1,23,2.14,9883
